date,description,amount
2025-10-18,Broadband ACT Fibernet,1150.00
2025-10-20,Apollo Pharmacy Medicine,241.78
2025-10-21,Airtel Prepaid Recharge,456.65
2025-10-23,Blue Tokai Roasters,400.01
2025-10-24,Broadband ACT Fibernet,1150.00
2025-10-25,Uber India Ride,254.61
2025-10-26,Blue Tokai Roasters,440.23
2025-10-27,Electricity BESCOM Bill,1588.99
2025-10-28,Zomato Delivery Gurgaon,495.89
2025-10-30,Starbucks Coffee Indiranagar,335.06
2025-10-31,Cult.fit Bangalore Gym Pass,999.00
2025-10-31,Apple iCloud Storage 200GB,219.00
2025-10-31,Zomato Delivery Gurgaon,428.85
2025-11-01,Amazon Prime Monthly Subscription,299.00
2025-11-01,Blue Tokai Roasters,400.83
2025-11-02,Netflix.com UHD Plan,649.00
2025-11-02,Calm.com Meditation App,499.00
2025-11-02,Spotify India Premium Family,119.00
2025-11-02,OpenAI ChatGPT Plus,1999.00
2025-11-02,Broadband ACT Fibernet,1150.00
2025-11-03,Shell Fuel Station,2397.05
2025-11-05,Starbucks Coffee Indiranagar,561.52
2025-11-06,Airtel Prepaid Recharge,355.11
2025-11-08,Nature Basket Gourmet,1659.46
2025-11-10,Zomato Delivery Gurgaon,264.29
2025-11-11,Blinkit Instant Groceries,367.88
2025-11-12,Electricity BESCOM Bill,1464.26
2025-11-13,Airtel Prepaid Recharge,412.60
2025-11-14,Zomato Delivery Gurgaon,487.84
2025-11-16,Zomato Delivery Gurgaon,354.81
2025-11-18,Broadband ACT Fibernet,1150.00
2025-11-19,Airtel Prepaid Recharge,467.39
2025-11-21,Starbucks Coffee Indiranagar,524.00
2025-11-23,Starbucks Coffee Indiranagar,344.52
2025-11-25,Blinkit Instant Groceries,710.04
2025-11-27,Airtel Prepaid Recharge,308.75
2025-11-28,Swiggy Order #98213,411.05
2025-11-30,Netflix.com UHD Plan,649.00
2025-11-30,Zomato Delivery Gurgaon,264.54
2025-12-01,Calm.com Meditation App,499.00
2025-12-01,OpenAI ChatGPT Plus,1999.00
2025-12-01,Blue Tokai Roasters,334.21
2025-12-02,Cult.fit Bangalore Gym Pass,999.00
2025-12-02,Apple iCloud Storage 200GB,219.00
2025-12-02,Spotify India Premium Family,119.00
2025-12-02,Amazon Prime Monthly Subscription,299.00
2025-12-03,Uber India Ride,220.28
2025-12-04,Zomato Delivery Gurgaon,330.66
2025-12-05,Swiggy Order #98213,510.86
2025-12-06,Zomato Delivery Gurgaon,494.96
2025-12-07,Uber India Ride,266.31
2025-12-09,Starbucks Coffee Indiranagar,544.81
2025-12-10,Uber India Ride,256.43
2025-12-12,Shell Fuel Station,3075.08
2025-12-14,Shell Fuel Station,2219.11
2025-12-16,Uber India Ride,188.36
2025-12-17,Swiggy Order #98213,481.67
2025-12-18,Airtel Prepaid Recharge,355.45
2025-12-19,Electricity BESCOM Bill,1772.15
2025-12-20,Swiggy Order #98213,634.31
2025-12-21,Uber India Ride,144.67
2025-12-22,Broadband ACT Fibernet,1150.00
2025-12-24,Zomato Delivery Gurgaon,500.14
2025-12-25,Electricity BESCOM Bill,1913.42
2025-12-26,Apollo Pharmacy Medicine,626.18
2025-12-28,Shell Fuel Station,1847.24
2025-12-30,Calm.com Meditation App,499.00
2025-12-30,Starbucks Coffee Indiranagar,389.06
2025-12-31,Cult.fit Bangalore Gym Pass,999.00
2025-12-31,Amazon Prime Monthly Subscription,299.00
2025-12-31,Broadband ACT Fibernet,1150.00
2026-01-01,Netflix.com UHD Plan,649.00
2026-01-01,Apple iCloud Storage 200GB,219.00
2026-01-01,Spotify India Premium Family,119.00
2026-01-02,Blinkit Instant Groceries,1139.67
2026-01-03,Swiggy Order #98213,433.31
2026-01-04,Zomato Delivery Gurgaon,362.80
2026-01-06,Uber India Ride,455.97
2026-01-07,Starbucks Coffee Indiranagar,416.08
2026-01-08,Nature Basket Gourmet,1567.24
2026-01-10,Electricity BESCOM Bill,2380.62
2026-01-11,Broadband ACT Fibernet,1150.00
2026-01-13,Broadband ACT Fibernet,1150.00
2026-01-14,Shell Fuel Station,1696.23
2026-01-15,Airtel Prepaid Recharge,398.58
2026-01-17,Shell Fuel Station,2528.21
2026-01-19,Starbucks Coffee Indiranagar,498.75
2026-01-21,Blue Tokai Roasters,342.59
2026-01-22,Zomato Delivery Gurgaon,395.66
2026-01-24,Swiggy Order #98213,251.42
2026-01-25,Broadband ACT Fibernet,1150.00
2026-01-26,Airtel Prepaid Recharge,378.53
2026-01-28,Blue Tokai Roasters,242.03
2026-01-29,Cult.fit Bangalore Gym Pass,999.00
2026-01-29,Calm.com Meditation App,499.00
2026-01-29,Apple iCloud Storage 200GB,219.00
2026-01-31,Netflix.com UHD Plan,649.00
2026-01-31,Spotify India Premium Family,119.00
